type,date,side,price,intended_price,slippage_pct,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reinvested,reason
entry,2025-04-17 23:15:00,SELL,2.253237909008884,2.2546,0.060413864593102065,66.5708664851904,10.0,0.004,49.996,2.299692,2.1193239999999998,,,,
exit,2025-04-18 00:00:00,,2.260667062504156,2.2586,0.09151963624173756,66.5708664851904,,0.004013188404944846,59.49742162616334,,,-0.49857837383666503,-4.98578373836665,0.0,signal_reversal
entry,2025-04-18 00:00:00,BUY,2.2612633974534724,2.2586,0.11792249417658511,78.93475173192984,11.899484325232669,0.004759793730093068,59.49266183243324,2.213428,2.394116,,,,
exit,2025-04-18 02:00:00,,2.258067727027491,2.2608,0.12085425391495105,78.93475173192984,,0.00475306707804795,71.13514363889597,,,-0.2570025187699471,-2.1597786235574707,0.0,signal_reversal
entry,2025-04-18 02:00:00,SELL,2.258775193613712,2.2608,0.08956149974734581,94.47838435628923,14.227028727779194,0.005690811491111678,71.12945282740486,2.306016,2.125152,,,,
exit,2025-04-18 04:45:00,,2.2128935996582526,2.2112,0.07659188034789793,94.47838435628923,,0.005575216321282262,86.43879246825452,,,4.329243652281821,30.429710483600086,3.246932739211366,signal_reversal
entry,2025-04-18 04:45:00,BUY,2.212990415807365,2.2112,0.08097032413916422,117.1791687629868,17.287758493650905,0.006915103397460362,86.43187736485706,2.166976,2.3438719999999997,,,,
exit,2025-04-18 07:00:00,,2.185917638322182,2.1882,0.10430315683293499,117.1791687629868,,0.006830506982478521,100.54043978970645,,,-3.1791960688015135,-18.389868588048035,0.0,signal_reversal
entry,2025-04-18 07:00:00,SELL,2.1871057693802514,2.1882,0.05000596927835437,137.9088856112287,20.108087957941294,0.008043235183176518,100.53239655452327,2.231964,2.056908,,,,
exit,2025-04-18 07:30:00,,2.208966012374519,2.2058,0.14353125281164203,137.9088856112287,,0.008123627763190654,117.61763913417127,,,-3.0228453782933027,-15.032982671529888,0.0,signal_reversal
entry,2025-04-18 07:30:00,BUY,2.207108812358922,2.2058,0.05933504211270411,159.8711016995081,23.523527826834254,0.009409411130733703,117.60822972304054,2.161684,2.338148,,,,
exit,2025-04-18 09:15:00,,2.1883692454922503,2.1916,0.1474153361813207,159.8711016995081,,0.009329520058724462,138.12651282946962,,,-3.005244720405158,-12.775484793471122,0.0,signal_reversal
entry,2025-04-18 09:15:00,SELL,2.188990061357576,2.1916,0.11908827534332128,189.30169935601143,27.625302565893925,0.01105012102635757,138.11546270844326,2.2354320000000003,2.060104,,,,
exit,2025-04-18 10:30:00,,2.1692543525018735,2.1678,0.06708886898576116,189.30169935601143,,0.010950494273707439,166.67202845686376,,,3.7250527301062437,13.484206086868989,2.793789547579683,signal_reversal
entry,2025-04-18 10:30:00,BUY,2.1706991194540715,2.1678,0.13373555927997774,230.34794683859494,33.33440569137275,0.0133337622765491,166.6586946945872,2.124444,2.2978680000000002,,,,
exit,2025-04-18 11:15:00,,2.15455235426983,2.1585,0.18288838221774312,230.34794683859494,,0.013234578964328439,196.26049159872073,,,-3.7326087872392177,-11.197466130932856,0.0,signal_reversal
entry,2025-04-18 11:15:00,SELL,2.1554030501600816,2.1585,0.14347694417043297,273.1653714382716,39.25209831974415,0.01570083932789766,196.24479075939283,2.20167,2.02899,,,,
exit,2025-04-18 13:15:00,,2.1512490902614854,2.1494,0.086028206080075,273.1653714382716,,0.01567058018126727,235.7766509337516,,,1.1190474184584591,2.8509238139138366,0.8392855638438443,signal_reversal
entry,2025-04-18 13:15:00,BUY,2.1515350278207355,2.1494,0.09933133994302042,328.7559550065522,47.15533018675032,0.018862132074700128,235.7577888016769,2.1064119999999997,2.2783640000000003,,,,
exit,2025-04-18 14:45:00,,2.120958353557978,2.1227,0.0820486381505767,328.7559550065522,,0.018594071708082072,272.842261168542,,,-10.07085781988521,-21.356775108988455,0.0,signal_reversal
entry,2025-04-18 14:45:00,SELL,2.120560524522702,2.1227,0.10079028959806662,385.9954828169127,54.5684522337084,0.02182738089348336,272.82043378764854,2.1651540000000002,1.9953379999999998,,,,
exit,2025-04-18 18:30:00,,2.1445933931489636,2.1434,0.05567757529920384,385.9954828169127,,0.02207475632625321,318.0902325361614,,,-9.298653485195548,-17.040346765509906,0.0,signal_reversal
entry,2025-04-18 18:30:00,BUY,2.145781206055361,2.1434,0.11109480523286697,444.71947788318175,63.618046507232286,0.025447218602892917,318.0647853175585,2.1005320000000003,2.2720040000000004,,,,
exit,2025-04-18 22:45:00,,2.134365618958108,2.1384,0.1886635354419974,444.71947788318175,,0.025311839031329705,376.58078605213916,,,-5.102045772651666,-8.019808926499575,0.0,signal_reversal
entry,2025-04-18 22:45:00,SELL,2.1357732663605704,2.1384,0.12283640289137768,528.9617469936481,75.31615721042783,0.030126462884171135,376.55065958925496,2.181168,2.010096,,,,
exit,2025-04-18 23:15:00,,2.1411572153295215,2.137,0.19453511134867474,528.9617469936481,,0.030202406965566902,448.9887113403762,,,-2.8781054593065987,-3.821365250042407,0.0,signal_reversal
entry,2025-04-18 23:15:00,BUY,2.13854789426111,2.137,0.07243304918625976,629.8508149552194,89.79774226807524,0.035919096907230094,448.952792243469,2.09426,2.2652200000000002,,,,
exit,2025-04-19 01:00:00,,2.1444838939676236,2.1473,0.13114637136759388,629.8508149552194,,0.03601879808730267,539.6762283752028,,,3.7027754546342284,4.123461638467756,2.7770815909756714,signal_reversal
entry,2025-04-19 01:00:00,SELL,2.1455392838008716,2.1473,0.08199674936564735,754.6022099662806,107.93524567504056,0.043174098270016226,539.6330542769327,2.190246,2.018462,,,,
exit,2025-04-19 01:30:00,,2.153674502978656,2.1505,0.14761697180451527,754.6022099662806,,0.043337801053219334,641.3861077808037,,,-6.1821921711695405,-5.7276861997258965,0.0,signal_reversal
entry,2025-04-19 01:30:00,BUY,2.1534499761777766,2.1505,0.1371762928517291,893.5235759493509,128.27722155616075,0.0513108886224643,641.3347968921813,2.10749,2.2795300000000003,,,,
exit,2025-04-19 02:15:00,,2.1962148206441543,2.2002,0.18112804998844928,893.5235759493509,,0.05232985920253139,779.1517851716703,,,38.15906689331312,29.74734440799124,28.61930016998484,signal_reversal
entry,2025-04-19 02:15:00,SELL,2.1983141806608364,2.2002,0.08571126893753508,1063.2944899679205,155.83035703433407,0.06233214281373363,779.0894530288566,2.2442040000000003,2.068188,,,,
exit,2025-04-19 05:45:00,,2.1944969471998514,2.1922,0.10477817716682243,1063.2944899679205,,0.06222390699224067,935.9189649129393,,,3.9966193989942296,2.5647245344587484,2.997464549245672,signal_reversal
entry,2025-04-19 05:45:00,BUY,2.195453698146822,2.1922,0.14842159231921012,1278.8959735788735,187.18379298258787,0.07487351719303516,935.8440913957462,2.148356,2.323732,,,,
exit,2025-04-19 07:15:00,,2.2946015425773685,2.2978,0.13919651068985905,1278.8959735788735,,0.0782548446338685,1154.7082654249882,,,126.72152418661683,67.69898299817264,95.04114313996263,signal_reversal
entry,2025-04-19 07:15:00,SELL,2.294468721351376,2.2978,0.14497687564731235,1509.772072305564,230.94165308499765,0.09237666123399907,1154.6158887637541,2.343756,2.159932,,,,
exit,2025-04-19 08:30:00,,2.2718384633838142,2.269,0.12509754886795119,1509.772072305564,,0.09146555372817253,1394.0763083274437,,,34.07506591476727,14.754837622222269,25.556299436075456,signal_reversal
entry,2025-04-19 08:30:00,BUY,2.271936240584543,2.269,0.12940681289304823,1840.8214325179706,278.8152616654888,0.11152610466619552,1393.9647822227776,2.22362,2.4051400000000003,,,,
exit,2025-04-19 09:15:00,,2.2596964916596223,2.2642,0.19890064218611045,1840.8214325179706,,0.11092527287553863,1650.1379264657576,,,-22.64211742250864,-8.120831437725863,0.0,signal_reversal
entry,2025-04-19 09:15:00,SELL,2.2614041299988363,2.2642,0.12348158295044827,2189.0885020183546,330.02758529315156,0.13201103411726062,1650.0059154316402,2.3094840000000003,2.128348,,,,
exit,2025-04-19 10:00:00,,2.2516931892911605,2.2478,0.17319998626037675,2189.0885020183546,,0.1314441512200085,1985.3151668487255,,,21.126664495735206,6.401484432572251,15.844998371801404,signal_reversal
entry,2025-04-19 10:00:00,BUY,2.250923319049741,2.2478,0.13895004225203084,2646.001065491899,397.06303336974514,0.15882521334789806,1985.1563416353777,2.202844,2.382668,,,,
exit,2025-04-19 11:00:00,,2.239422211040569,2.242,0.11497720604063869,2646.001065491899,,0.15801369483998853,2351.6294172636754,,,-30.589957741447193,-7.704055822532798,0.0,signal_reversal
entry,2025-04-19 11:00:00,SELL,2.2401949165724733,2.242,0.0805121956970047,3149.2296494383154,470.32588345273507,0.18813035338109405,2351.4412869102944,2.28684,2.10748,,,,
exit,2025-04-19 11:45:00,,2.238758561802503,2.2351,0.16368671658999642,3149.2296494383154,,0.1880097290869953,2822.851020687933,,,4.335401299615571,0.9217866700826073,3.251550974711678,signal_reversal
entry,2025-04-19 11:45:00,BUY,2.236979790195098,2.2351,0.08410318084640599,3785.7083462185483,564.5702041375866,0.22582808165503468,2822.6251926062782,2.190398,2.369206,,,,
exit,2025-04-19 12:30:00,,2.2164618827393494,2.2181,0.07385227269512908,3785.7083462185483,,0.22375675329497685,3309.2968264884025,,,-77.89857025546247,-13.797853603425105,0.0,signal_reversal
entry,2025-04-19 12:30:00,SELL,2.216415441334581,2.2181,0.0759460198106298,4479.255239932492,661.8593652976806,0.26474374611907225,3309.0320827422834,2.262462,2.085014,,,,
exit,2025-04-19 13:45:00,,2.2165141075840475,2.2145,0.0909508956444967,4479.255239932492,,0.2647555314874704,3970.1847411935487,,,-0.7067068464153998,-0.10677598345949953,0.0,signal_reversal
entry,2025-04-19 13:45:00,BUY,2.2168703792735855,2.2145,0.10703902793341016,5372.6886041408725,794.0369482387098,0.31761477929548393,3969.867126414253,2.17021,2.34737,,,,
exit,2025-04-19 14:30:00,,2.2175587587032743,2.2194,0.08296121910089721,5372.6886041408725,,0.3177134045839429,4764.74925838112,,,3.3807349126300723,0.4257654407806888,2.5355511844725545,signal_reversal
entry,2025-04-19 14:30:00,SELL,2.2174031463057076,2.2194,0.08997268154871255,6446.391040329412,952.9498516762241,0.38117994067048966,4764.36807844045,2.263788,2.0862359999999995,,,,
exit,2025-04-19 16:15:00,,2.208733024185005,2.206,0.12389048889416376,6446.391040329412,,0.37968951406895746,5731.195757127521,,,55.5113080433888,5.8252076901785825,41.6334810325416,signal_reversal
entry,2025-04-19 16:15:00,BUY,2.2073192607845935,2.206,0.059803299392286347,7789.3522594783535,1146.2391514255041,0.4584956605702017,5730.73726146695,2.16188,2.33836,,,,
exit,2025-04-19 17:30:00,,2.1920612196411433,2.1959,0.17481580941102856,7789.3522594783535,,0.4553263203767098,6757.67082931613,,,-119.30558357632418,-10.408437316763388,0.0,signal_reversal
entry,2025-04-19 17:30:00,SELL,2.194231765863639,2.1959,0.07597040559046875,9239.230241464047,1351.534165863226,0.5406136663452904,6757.130215649785,2.239818,2.064146,,,,
exit,2025-04-19 18:00:00,,2.2052842236081016,2.204,0.05826785880677165,9239.230241464047,,0.5433367650608942,8006.004842912807,,,-102.65953860020343,-7.595778278726286,0.0,signal_reversal
entry,2025-04-19 18:00:00,BUY,2.20635258430809,2.204,0.10674157477721935,10885.846033656697,1601.2009685825615,0.6404803874330246,8005.364362525374,2.15992,2.33624,,,,
exit,2025-04-19 18:45:00,,2.199659680761771,2.2021,0.11081782109028505,10885.846033656697,,0.6385375096324021,9533.068876074962,,,-73.4964550329737,-4.590083098565404,0.0,signal_reversal
entry,2025-04-19 18:45:00,SELL,2.200354702672149,2.2021,0.07925604322471737,12997.543802139498,1906.6137752149925,0.762645510085997,9532.306230564876,2.2461420000000003,2.069974,,,,
exit,2025-04-19 19:15:00,,2.1959480508522193,2.1936,0.10704097612233951,12997.543802139498,,0.7611181594179888,11453.048638752593,,,56.51453189089338,2.9641311011990736,42.385898918170035,signal_reversal
entry,2025-04-19 19:15:00,BUY,2.1955233685097277,2.1936,0.08768091309845762,15649.63799022554,2290.6097277505187,0.9162438911002075,11452.132394861492,2.149728,2.325216,,,,
exit,2025-04-19 20:00:00,,2.196329014980613,2.199,0.12146362070881499,15649.63799022554,,0.9165801064500065,13745.664996489762,,,11.691495511009832,0.5104097555060767,8.768621633257373,signal_reversal
entry,2025-04-19 20:00:00,SELL,2.1964570650234574,2.199,0.11564051735072552,18774.32327093036,2749.1329992979527,1.0996531997191812,13744.565343290044,2.2429799999999998,2.0670599999999997,,,,
exit,2025-04-19 20:30:00,,2.205834329815056,2.2044,0.06506667642243331,18774.32327093036,,1.1043479144017034,16316.54219407901,,,-177.1561485089875,-6.44407340620581,0.0,signal_reversal
entry,2025-04-19 20:30:00,BUY,2.205695748469125,2.2044,0.05878009749248794,22192.374726301572,3263.308438815802,1.305323375526321,16315.236870703482,2.1603120000000002,2.3366640000000003,,,,
exit,2025-04-19 22:30:00,,2.213763696398261,2.217,0.1459767073405119,22192.374726301572,,1.3100979601587392,19622.979515958163,,,177.73682575551882,5.4465224200509965,133.30261931663912,signal_reversal
entry,2025-04-19 22:30:00,SELL,2.2155566922307974,2.217,0.0651018389356201,26570.720918272054,3924.5959031916327,1.569838361276653,19621.409677596886,2.26134,2.08398,,,,
exit,2025-04-19 23:00:00,,2.2287063230387387,2.2271,0.07212621969101009,26570.720918272054,,1.5791555658200163,23195.03125484658,,,-350.9743259419404,-8.942941760106168,0.0,signal_reversal
entry,2025-04-19 23:00:00,BUY,2.230047228378198,2.2271,0.13233480212823623,31203.41707522738,4639.006250969316,1.8556025003877266,23193.17565234619,2.182558,2.360726,,,,
exit,2025-04-20 00:30:00,,2.243566867970788,2.2472,0.16167372860501567,31203.41707522738,,1.8668520724654427,27937.179928525977,,,419.99210084187933,9.05349288447547,314.9940756314095,signal_reversal
entry,2025-04-20 00:30:00,SELL,2.244350962054793,2.2472,0.12678168143497687,37343.33052297896,5587.435985705196,2.2349743942820783,27934.944954131694,2.292144,2.1123679999999996,,,,
exit,2025-04-20 01:30:00,,2.279546389252015,2.2759,0.16021746350961538,37343.33052297896,,2.2700227801680333,32205.79644633342,,,-1316.5844935034688,-23.563303398406653,0.0,signal_reversal
entry,2025-04-20 01:30:00,BUY,2.277224418043688,2.2759,0.05819315627610991,42427.69775936361,6441.159289266685,2.5764637157066743,32203.219982617713,2.230382,2.4124540000000003,,,,
exit,2025-04-20 03:30:00,,2.2516586465640627,2.2552,0.15703057094436612,42427.69775936361,,2.5475384670314076,37557.134908094864,,,-1087.2443637895342,-16.879637887565966,0.0,signal_reversal
entry,2025-04-20 03:30:00,SELL,2.2519375483672,2.2552,0.14466351688542348,50033.09474811086,7511.4269816189735,3.0045707926475895,37554.13033730222,2.300304,2.1198879999999996,,,,
exit,2025-04-20 04:15:00,,2.2862197574692793,2.2845,0.07527938145237222,50033.09474811086,,3.050310659745693,43347.26199208256,,,-1718.2953268386304,-22.87575091981095,0.0,signal_reversal
entry,2025-04-20 04:15:00,BUY,2.2869724193202776,2.2845,0.10822584023976572,56861.98262718797,8669.452398416512,3.4677809593666047,43343.7942111232,2.23881,2.42157,,,,
